#####################################################################
# Alchemist log file - simulation started at: 2026-09-13T18:05+0000 #
#####################################################################
#
# 
#
# The columns have the following meaning: 
# time alarmed[sum] level[mean] level[max] 
0.0 0.0 NaN NaN
1.8895554354088815E-5 0.0 NaN NaN
1.0000188955543556 0.0 1.4230078125 3.4189453125
2.0000188955543523 0.0 1.4230078125 3.4189453125
3.0000188955543488 0.0 1.4230078125 3.4189453125
4.000018895554345 41.0 1.5400976562500002 3.7353515625
5.000018895554342 41.0 0.09852539062499997 3.763671875
6.000018895554338 41.0 0.047773437499999995 0.140625
7.0000188955543345 41.0 0.047773437499999995 0.140625
8.000018895554332 41.0 0.047773437499999995 0.140625
9.000018895554382 41.0 0.047773437499999995 0.140625
10.000018895554431 41.0 0.044765625 0.126953125
11.000018895554481 41.0 0.044765625 0.126953125
12.00001889555453 41.0 0.044765625 0.126953125
13.00001889555458 41.0 0.044765625 0.126953125
14.00001889555463 41.0 0.044765625 0.126953125
15.00001889555468 41.0 0.044765625 0.126953125
16.000018895554728 41.0 0.043779296875 0.119140625
17.00001889555467 41.0 0.043779296875 0.119140625
18.000018895554614 41.0 0.043779296875 0.119140625
19.000018895554557 41.0 0.043779296875 0.119140625
20.0000188955545 41.0 0.043779296875 0.119140625
21.000018895554444 41.0 0.043779296875 0.119140625
22.000018895554387 41.0 0.042226562499999995 0.11328125
23.00001889555433 41.0 0.042226562499999995 0.11328125
24.000018895554273 41.0 0.042226562499999995 0.11328125
25.000018895554216 41.0 0.042226562499999995 0.11328125
26.00001889555416 41.0 0.042226562499999995 0.11328125
27.000018895554103 41.0 0.042226562499999995 0.11328125
28.000018895554046 41.0 0.04060546875 0.107421875
29.00001889555399 41.0 0.04060546875 0.107421875
30.000018895553932 41.0 0.04060546875 0.107421875
31.000018895553875 41.0 0.04060546875 0.107421875
32.00001889555382 41.0 0.04060546875 0.107421875
33.000018895553765 41.0 0.04060546875 0.107421875
34.00001889555371 41.0 0.03921875 0.1025390625
35.00001889555365 41.0 0.03921875 0.1025390625
36.000018895553595 41.0 0.03921875 0.1025390625
37.00001889555354 41.0 0.03921875 0.1025390625
38.00001889555348 41.0 0.03921875 0.1025390625
39.000018895553424 41.0 0.03921875 0.1025390625
40.00001889555337 41.0 0.03779296875 0.09765625
41.00001889555331 41.0 0.03779296875 0.09765625
42.000018895553254 41.0 0.03779296875 0.09765625
43.0000188955532 41.0 0.03779296875 0.09765625
44.00001889555314 41.0 0.03779296875 0.09765625
45.00001889555308 41.0 0.03779296875 0.09765625
46.000018895553026 41.0 0.036708984375 0.0927734375
47.00001889555297 41.0 0.036708984375 0.0927734375
48.00001889555291 41.0 0.036708984375 0.0927734375
49.000018895552856 41.0 0.036708984375 0.0927734375
50.0000188955528 41.0 0.036708984375 0.0927734375
51.00001889555274 41.0 0.036708984375 0.0927734375
52.000018895552685 41.0 0.035478515625 0.0869140625
53.00001889555263 41.0 0.035478515625 0.0869140625
54.00001889555257 41.0 0.035478515625 0.0869140625
55.000018895552515 41.0 0.035478515625 0.0869140625
56.00001889555246 41.0 0.035478515625 0.0869140625
57.0000188955524 41.0 0.035478515625 0.0869140625
58.000018895552344 41.0 0.034755859375 0.08203125
59.00001889555229 41.0 0.034755859375 0.08203125
60.00001889555223 41.0 0.034755859375 0.08203125
61.000018895552174 41.0 0.034755859375 0.08203125
62.00001889555212 41.0 0.034755859375 0.08203125
63.00001889555206 41.0 0.034755859375 0.08203125
64.000018895552 41.0 0.034414062499999995 0.0791015625
65.00001889555195 41.0 0.034414062499999995 0.0791015625
66.00001889555189 41.0 0.034414062499999995 0.0791015625
67.00001889555183 41.0 0.034414062499999995 0.0791015625
68.00001889555178 41.0 0.034414062499999995 0.0791015625
69.00001889555172 41.0 0.034414062499999995 0.0791015625
70.00001889555166 41.0 0.033349609375 0.078125
71.0000188955516 41.0 0.033349609375 0.078125
72.00001889555155 41.0 0.033349609375 0.078125
73.00001889555149 41.0 0.033349609375 0.078125
74.00001889555143 41.0 0.033349609375 0.078125
75.00001889555138 41.0 0.033349609375 0.078125
76.00001889555132 41.0 0.032265625 0.076171875
77.00001889555126 41.0 0.032265625 0.076171875
78.00001889555121 41.0 0.032265625 0.076171875
79.00001889555115 41.0 0.032265625 0.076171875
80.0000188955511 41.0 0.032265625 0.076171875
81.00001889555104 41.0 0.032265625 0.076171875
82.00001889555098 41.0 0.029580078125000003 0.0693359375
83.00001889555092 41.0 0.029580078125000003 0.0693359375
84.00001889555087 41.0 0.029580078125000003 0.0693359375
85.00001889555081 41.0 0.029580078125000003 0.0693359375
86.00001889555075 41.0 0.029580078125000003 0.0693359375
87.0000188955507 41.0 0.029580078125000003 0.0693359375
88.00001889555064 41.0 0.027333984375000002 0.0654296875
89.00001889555058 41.0 0.027333984375000002 0.0654296875
90.00001889555053 41.0 0.027333984375000002 0.0654296875
91.00001889555047 41.0 0.027333984375000002 0.0654296875
92.00001889555041 41.0 0.027333984375000002 0.0654296875
93.00001889555035 41.0 0.027333984375000002 0.0654296875
94.0000188955503 41.0 0.02509765625 0.064453125
95.00001889555024 41.0 0.02509765625 0.064453125
96.00001889555018 41.0 0.02509765625 0.064453125
97.00001889555013 41.0 0.02509765625 0.064453125
98.00001889555007 41.0 0.02509765625 0.064453125
99.00001889555001 41.0 0.02509765625 0.064453125
100.00001889554996 41.0 0.023261718750000004 0.064453125
101.0000188955499 41.0 0.023261718750000004 0.064453125
102.00001889554984 41.0 0.023261718750000004 0.064453125
103.00001889554979 41.0 0.023261718750000004 0.064453125
104.00001889554973 41.0 0.023261718750000004 0.064453125
105.00001889554967 41.0 0.023261718750000004 0.064453125
106.00001889554962 41.0 0.02142578125 0.0634765625
107.00001889554956 41.0 0.02142578125 0.0634765625
108.0000188955495 41.0 0.02142578125 0.0634765625
109.00001889554945 41.0 0.02142578125 0.0634765625
110.00001889554939 41.0 0.02142578125 0.0634765625
111.00001889554933 41.0 0.02142578125 0.0634765625
112.00001889554927 41.0 0.021025390625 0.0634765625
113.00001889554922 41.0 0.021025390625 0.0634765625
114.00001889554916 41.0 0.021025390625 0.0634765625
115.0000188955491 41.0 0.021025390625 0.0634765625
116.00001889554905 41.0 0.021025390625 0.0634765625
117.00001889554899 41.0 0.021025390625 0.0634765625
118.00001889554893 41.0 0.020029296874999998 0.0625
119.00001889554888 41.0 0.020029296874999998 0.0625
120.00001889554882 41.0 0.020029296874999998 0.0625
121.00001889554876 41.0 0.020029296874999998 0.0625
122.0000188955487 41.0 0.020029296874999998 0.0625
123.00001889554865 41.0 0.020029296874999998 0.0625
124.00001889554859 41.0 0.019560546875 0.0625
125.00001889554854 41.0 0.019560546875 0.0625
126.00001889554848 41.0 0.019560546875 0.0625
127.00001889554842 41.0 0.019560546875 0.0625
128.00001889554838 41.0 0.019560546875 0.0625
129.00001889554918 41.0 0.019560546875 0.0625
130.00001889554997 41.0 0.019365234375000002 0.0625
131.00001889555077 41.0 0.019365234375000002 0.0625
132.00001889555156 41.0 0.019365234375000002 0.0625
133.00001889555236 41.0 0.019365234375000002 0.0625
134.00001889555315 41.0 0.019365234375000002 0.0625
135.00001889555395 41.0 0.019365234375000002 0.0625
136.00001889555475 41.0 0.019189453125 0.0615234375
137.00001889555554 41.0 0.019189453125 0.0615234375
138.00001889555634 41.0 0.019189453125 0.0615234375
139.00001889555713 41.0 0.019189453125 0.0615234375
140.00001889555793 41.0 0.019189453125 0.0615234375
141.00001889555872 41.0 0.019189453125 0.0615234375
142.00001889555952 41.0 0.018798828125 0.0615234375
143.00001889556032 41.0 0.018798828125 0.0615234375
144.0000188955611 41.0 0.018798828125 0.0615234375
145.0000188955619 41.0 0.018798828125 0.0615234375
146.0000188955627 41.0 0.018798828125 0.0615234375
147.0000188955635 41.0 0.018798828125 0.0615234375
148.0000188955643 41.0 0.018232421874999998 0.0615234375
149.0000188955651 41.0 0.018232421874999998 0.0615234375
150.0000188955659 41.0 0.018232421874999998 0.0615234375
151.00001889556668 41.0 0.018232421874999998 0.0615234375
152.00001889556748 41.0 0.018232421874999998 0.0615234375
153.00001889556827 41.0 0.018232421874999998 0.0615234375
154.00001889556907 41.0 0.016796875 0.060546875
155.00001889556987 41.0 0.016796875 0.060546875
156.00001889557066 41.0 0.016796875 0.060546875
157.00001889557146 41.0 0.016796875 0.060546875
158.00001889557225 41.0 0.016796875 0.060546875
159.00001889557305 41.0 0.016796875 0.060546875
160.00001889557385 41.0 0.014472656250000004 0.060546875
161.00001889557464 41.0 0.014472656250000004 0.060546875
162.00001889557544 41.0 0.014472656250000004 0.060546875
163.00001889557623 41.0 0.014472656250000004 0.060546875
164.00001889557703 41.0 0.014472656250000004 0.060546875
165.00001889557782 41.0 0.014472656250000004 0.060546875
166.00001889557862 41.0 0.24621093750000006 1.2529296875
167.00001889557942 41.0 0.24621093750000006 1.2529296875
168.0000188955802 41.0 0.24621093750000006 1.2529296875
169.000018895581 41.0 0.24621093750000006 1.2529296875
170.0000188955818 41.0 0.24621093750000006 1.2529296875
